lin_check,Genotype,rowgroup,colgroup,row,col,yield7,panicle_len7,thou_grain_wt7,grain_per_pan7,effective_tiller7,dis_march15,greenness_z65,greenness_z75,greenness_z85,LAUG_65_75,LAUG_75_85,plht,lar,ctd,chl_ind1_2,chl_ind2_2,days_to_head,days_to_anth,Jan_23_2017,Jan_26_2017,Jan_29_2017,Feb_02_2017,Feb_06_2017,Feb_23_2017,line_or_check,check_or_line,is_line,is_check,conv,conf,interaction_rc
3,Gautam,5,4,18,10,4.51237763975154,18.722439362895106,44.9503092524382,30.1341758188108,39,2,7.73,7.56,5.09,115.702192895954,78.9606802481912,103,43.5822000057,10.506666669999898,46.23333333,41.65,66,73,Awns appearing,Spikes appearing,One fourth of spikes appeared,Anthesis stage I,Anthesis stage III,,check,3,0,1,0,1,5.4
3,Gautam,5,4,19,10,3.95312008512901,18.08104562201003,38.933108989735,30.234681763686,32,2.5,8.17,7.48,6.63,109.196109209099,86.8133730960951,105,42.369079994100005,11.81333333,42.23333333,32.95,65,72,Spikes appearing,Spikes appearing,One fourth of spikes appeared,Anthesis stage II,Anthesis stage IV,,check,3,0,1,0,1,5.4
L40,KACHU*2/MUNAL #1,5,4,20,10,3.1957744435024997,14.37563052132637,35.9812265512385,21.8336821331978,27,1,8.5,7.268,5.94,112.377548109639,100.07279466653,97,36.845599993680004,12.145,45.85,45.63333333,75,84,Before booting,Before booting,Before booting,Booting plus,Spikes appearing,,L40,line,1,0,1,0,5.4
3,Gautam,5,3,20,9,3.03363897411261,18.74700947445211,39.6677982544297,29.7125141296531,24,2,7.77,7.48,5.15,101.970335252,95.0014842420124,101,27.8566666626,10.92666667,45.23333333,50.75,65,72,Spikes appearing,Spikes appearing,One fourth of spikes appeared plus,Anthesis stage II,Anthesis stage IV,,check,3,0,1,0,1,5.3
2,Bhrikuti,5,3,19,9,2.73674137335216,15.677337283031866,41.957711561668,25.1806987001136,28,2.5,7.12,6.53,3.19,95.0242691693243,88.681607561693,88,32.09777776568889,11.100000000000001,42.13333333,36.1,64,72,Spikes appearing,One fourth of spikes appeared,Half spikes appeared plus,Anthesis stage II,Anthesis advanced,,check,2,0,1,0,1,5.3
L76,PBW343*2/KUKUNA//PBW343*2/KUKUNA/6/WBLL1*2/...,5,3,18,9,3.3615155680204696,14.330153258041127,42.6806220173905,25.7161312253611,33,2.5,8.75,3.99,3.85,91.3804340967864,31.335114943965,107,32.165,11.6357142857142,47.85,40.26666667,75,82,Before booting,Before booting,Before booting,Awns appearing,Awns appearing plus,,L76,line,1,0,1,0,5.3
4,Tilottama,5,3,17,9,3.95394757763974,15.752983099120671,35.39916182,29.6156833674731,52,2.5,8.37,7.16,7.29,112.425541061704,107.76040602089,104,30.880000000000003,11.304761901428499,44.66666667,38.35,62,72,Spikes appearing,Half spikes appeared,Three fourth of spikes appeared,Anthesis stage II,Anthesis stage IV plus,,check,4,0,1,0,1,5.3
2,Bhrikuti,4,3,16,9,4.61049051833122,16.959497481023018,34.800748165,29.5754905874574,36,3,7.79,5.73,4.54,104.423643192459,67.1220607810182,92,43.460000008200005,11.5238095271428,49.25,36.4,66,73,Awns appearing,Spikes appearing,One fourth of spikes appeared,Anthesis stage I,Anthesis stage III,,check,2,0,1,0,1,4.3
L28,KISKADEE #1/5/KAUZ*2/MNV//KAUZ/3/MILAN/4/...,4,3,15,9,4.10334167764853,14.933951907223927,39.7596986485828,22.6425661015648,47,3.5,8.54,4.17,4.15,98.60481624,75.3812745724391,92.5,56.062799999999996,12.742857142857098,44.925,39.03333333,74,80,Before booting,Before booting,Booting plus,Spikes appearing plus,One fourth of spikes appeared,,L28,line,1,0,1,0,4.3
L41,KACHU/2*MUNAL #1,4,3,14,9,,,,,34,3.5,8,4.86,4.26,92.405914193917,60.8401899385111,98,36.808125000000004,10.4535714285714,44.95,27,65,73,Awns appearing,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage IV minus,,L41,line,1,0,1,0,4.3
4,Tilottama,4,3,13,9,3.7061714285714196,14.454269673686186,33.0664502159423,26.4627264709516,35,1.5,7.4,5.34,2.13,100.209305161877,58.7443035348009,90,41.423333339,10.980952384285699,47.8,34.35,61,70,One fourth of spikes appeared,One fourth of spikes appeared,Spikes have fully emerged minus,Anthesis stage III,Anthesis advanced,,check,4,0,1,0,1,4.3
